Body
Date,Weight,BMI,Fat
"2020-02-01","176","26.67","0"
"2020-02-02","176","26.67","0"
"2020-02-03","176","26.67","0"
"2020-02-04","176","26.67","0"
"2020-02-05","176","26.67","0"
"2020-02-06","176","26.67","0"
"2020-02-07","176","26.67","0"
"2020-02-08","176","26.67","0"
"2020-02-09","176","26.67","0"
"2020-02-10","176","26.67","0"
"2020-02-11","176","26.67","0"
"2020-02-12","176","26.67","0"
"2020-02-13","176","26.67","0"
"2020-02-14","176","26.67","0"
"2020-02-15","176","26.67","0"
"2020-02-16","176","26.67","0"
"2020-02-17","176","26.67","0"
"2020-02-18","176","26.67","0"
"2020-02-19","176","26.67","0"
"2020-02-20","176","26.67","0"
"2020-02-21","176","26.67","0"
"2020-02-22","176","26.67","0"
"2020-02-23","176","26.67","0"
"2020-02-24","176","26.67","0"
"2020-02-25","176","26.67","0"
"2020-02-26","176","26.67","0"
"2020-02-27","176","26.67","0"
"2020-02-28","176","26.67","0"
"2020-02-29","176","26.67","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-02-01","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-02","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-03","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-04","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-05","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-06","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-07","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-08","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-09","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-10","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-11","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-12","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-13","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-14","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-15","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-16","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-17","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-18","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-19","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-20","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-21","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-22","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-23","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-24","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-25","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-26","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-27","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-28","1,770","0","0","0","1,440","0","0","0","0"
"2020-02-29","1,770","0","0","0","1,440","0","0","0","0"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep

